name,price,piecesPerCarton,colorCode,lowStockThreshold,totalCartons,hasVariants,variantName,variantCartons,totalPieces
Lush Wow Braid,3900,25,,,0,TRUE,color 33,1,
Lush Wow Braid,3900,25,,,0,TRUE,color 35,1,
Lush Jumbo,800,30,,5,0,TRUE,Color 1,5,
Lush Jumbo,800,30,,5,0,TRUE,Gold,3,
Mega growth relax,1200,12,,,,,,,,0
Karen Paris,1800,48,,,,,,,,0
Diy Wig cap,1,12,,,,,,,,0
Wig cap,1,10,,,,,,,,0
Viola,1,10,,,,,,,,0
Series activator (small),800,12,,,,,,,,0
Eco gel (medium),4000,12,,,,,,,,0
Above oil sheen (Big),3500,12,,,,,,,,0
Mouldin gel wax,3000,6,,,,,,,,0
De simple sea salt,750,12,,,,,,,,0
Elan shampoo,1,10,,,,,,,,0
Elan conditioner,1,10,,,,,,,,0
Lush relax,1,10,,,,,,,,0
Lush detangling conditioner,1,10,,,,,,,,0
Lush leave in treatment,1,10,,,,,,,,0
Olive oil no lye hair relaxer,1,10,,,,,,,,0
Mega growth kids relaxer,1,10,,,,,,,,0
Butterfly shadow (Big),1,10,,,,,,,,0
Butterfly shadow (small),1,10,,,,,,,,0
Brazilian wool,1,10,,,,,,,,0
White tint (Big),4000,3,,,,,,,,0
Olive oil bleaching powder,1,10,,,,,,,,0
Overa edge control,3000,10,,,,,,,,0
Miracle Lock & twist,2000,8,,,,,,,,0
Shower cap,300,36,,,,,,,,0
Yizid wax & mud,1,10,,,,,,,,0
Damatol,1,10,,,,,,,,0
Above spiritz holding spray,1,10,,,,,,,,0
Hair booster serum,1,10,,,,,,,,0
Tigi bed head,1,10,,,,,,,,0
Keratin intensive color powder,1,10,,,,,,,,0
Dara hair conditioner,1,10,,,,,,,,0
Viola anti dandruff shampoo,1,10,,,,,,,,0
Viola anti dandruff conditioner,1,10,,,,,,,,0
Viola exotic hair treatment oil,1,10,,,,,,,,0
Tressa Supershine,3790,25,,,,,,,,0
Tressa Fast Braid,5100,25,,,,,,,,0
Tressa Tasty Braid,2350,25,,,,,,,,0
Above mousse (Big),3500,12,,,,,,,,0
Abovee oilsheen (small),1800,12,,,,,,,,0
Above mousse (small),1800,12,,,,,,,,0
series activator (medium),1600,12,,,,,,,,0
Eco gel (small),2500,12,,,,,,,,0
Developer (Big),2500,6,,,,,,,,0
Adove dye tint,7000,4,,,,,,,,0
4 C edge control,2500,12,,,,,,,,0
Cutting comb,100,180,,,,,,,,0
Afro chic cream (medium),2000,6,,,,,,,,0
Children butterfly clip,2500,12,,,,,,,,0
Kaima wax,1000,72,,,,,,,,0
Children clip cup,1000,6,,,,,,,,0
Coweries gold & sliver,4000,7,,,,,,,,0
12 in 1 oil,1,5,,,,,,,,0
Topklass Conditioner (Big),1,5,,,,,,,,0
Topklass Conditioner (medium),1,5,,,,,,,,0
Topklass Conditioner (small),1,5,,,,,,,,0
Topklass Shampoo (Big),1,5,,,,,,,,0
Topklass Shampoo (medium),1,5,,,,,,,,0
Topklass Shampoo (small),1,5,,,,,,,,0
Topklass Pink oil (Big),1,5,,,,,,,,0
Topklass Pink oil (small),1,5,,,,,,,,0
Topklass Pink oil (medium),1,5,,,,,,,,0
Topklass Blue treatment,1,5,,,,,,,,0
Topklass Lie treatment,1,5,,,,,,,,0
Topklass Styling gel (Big),1,5,,,,,,,,0
Topklass Styling gel (medium),1,5,,,,,,,,0
Topklass Styling gel (small),1,5,,,,,,,,0
Topklass Hair cream (Big),1,5,,,,,,,,0
Topklass Hair cream (small),1,5,,,,,,,,0
Topklass Hair cream (medium),1,5,,,,,,,,0
Topklass Weavon gloss,1,5,,,,,,,,0
Topklass Viola shamp (Big),1,5,,,,,,,,0
Topklass Viola shamp (small),1,5,,,,,,,,0
Topklass 911 treatment (Big),1,5,,,,,,,,0
Darling super star,3900,25,,,,,,,,0
Darling super soft,5460,25,,,,,,,,0
Darling easy braid 7X,5250,15,,,,,,,,0
Amigos beauty braid,840,15,,,,,,,,0
Darling duchess braid,3900,15,,,,,,,,0
Darling duches braid Pre-stretched,7350,15,,,,,,,,0
Darling mega braid,2050,15,,,,,,,,0
Amigos max braid 7X,4730,15,,,,,,,,0
Amigos princess braid,1580,15,,,,,,,,0
Darling princess braid,1160,15,,,,,,,,0
Darling natural braid,3200,15,,,,,,,,0
Empress curly braid,7200,15,,,,,,,,0
Darling natural tiwst long,3900,15,,,,,,,,0
Darling passion twist,4000,15,,,,,,,,0
Amigos kinky,2900,15,,,,,,,,0
Amigos dancing curl,4400,15,,,,,,,,0
Darling kinky bulk,3500,15,,,,,,,,0
Darling bohemian passion twist,6300,15,,,,,,,,0
Darling passion twist 2X,6400,15,,,,,,,,0
Empress loose braid,7350,15,,,,,,,,0
Darling zoey,1800,15,,,,,,,,0
Darling wet wave,5800,15,,,,,,,,0
Darling yaki curl,3990,15,,,,,,,,0
Darling mangolian kinky,5200,15,,,,,,,,0
Darling kinky straight hair,3150,15,,,,,,,,0
Empress silky straight 18/20 inches + closure,10500,15,,,,,,,,0
Empress silky straight 18/20 inches,8050,15,,,,,,,,0
Amigos razor cut,2630,15,,,,,,,,0
Amigos short bob,4200,15,,,,,,,,0
Darling afro puff pony,3890,15,,,,,,,,0
Kinky straight wrap pony,4310,15,,,,,,,,0
Darling bulk,2790,15,,,,,,,,0
Darling yaki daniella,3150,15,,,,,,,,0
Amigos super wave,1580,15,,,,,,,,0
